"Name","Url","DataSource","ExtractedDate","Firm_","Phone","Address","Contact","PostalAddress","Email","Conditions","Environment_Group","Other_Professional_Services_Group","Pavement_and_Geotechnical_Engineering_Group","Road_and_Bridge_Design_Group","Traffic_Management_Services_consult_Group","Transport_and_Planning_Studies_Group","PrequalificationCategories","Letter"
"Jacobs Group (Australia) Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/1b6886a0dc3dd4b1ca256d5d000d50f8?OpenDocument","Cached","2025-09-12 10:42:56","Jacobs Group (Australia) Pty Ltd","(03) 8668 3004","Level 13, 452 Flinders Street, MELBOURNE VIC 3000","Mr Andrew Sonnenberg","PO Box 312, Flinders Lane, MELBOURNE VIC 8009&nbsp","andrew.sonnenberg@jacobs.com","Rafal Woznial - Proof Engineer (PE) NER","Air: Air Quality Modelling (E-AQMD); Biodiversity: Aquatic Flora & Fauna (E-AFF), Flora Fauna and Net Gain Assessments (E-TFL); Environmental: Environmental Auditing - Construction (E-EAC), Environmental Management Systems (E-EMS); Noise & Vibration: Noise & Vibration (E-NMD)","Bridge Inspection: Bridge Inspection (BI2)","Pavement Design: Advanced pavement design (ND3), Basic pavement design (ND1), Intermediate pavement design (ND2); Pavement Rehabilitation & Maintenance: Basic rehabilitation design - flexible (RM2), Basic rehabilitation design - granular (RM1), Intermediate rehabilitation design (RM3); Geotechnical Services: Design (GT-DES), Ground water & Hydrology (GT-GWH), Investigations (GT-INV)","Road Design: Freeways (FD), Rural Road (RR), Urban Road (UR); Bridge Design: Structures-Complex (CS), Structures-Simple (SS); Proof Engineering: Structures (PE); Hydrologic & Hydraulic Design: H&H-Complex (CH), H&H-Simple (SH); Water Sensitive Road Design: Modelling & Design (WSRD)","Data Acquisition Processing & Analysis: DBS - Behavioural surveys, DMR - Market Research, DSD - Survey Design; Traffic Transport Planning & Strategies: PAM - Access Management, PRN - Road Network, PRS - Road Safety; Traffic Design & Operations - Arterial Roads & Motorways: TAR - Arterial Roads, TCA - Communications Architecture, TMC - Monitoring & Control Systems, TOF - Freeways, TOS - Traffic Signal Design, TPF - Public Transport Facilities, TSD - Traffic Signing & Delineation Design, TSM - Simulation Modelling, TTF - Traffic Facilities; Freight and Freight Vehicle Operations: FIR - Investigation & Reporting, FVR - Research of Intermodal & Overseas Operations; Road Safety Auditing: RSAUDIT - Road Safety Audit","Strategic Transport Planning: Strategic Transport/Land Use Planning Studies (ST); Highway Corridor Planning: Highway Corridor Strategy Studies (HC); Planning Study Management: Combined EES/PSA Management (EPM), Environment Effects Statement Management (EESM), Planning Scheme Amendment Management (PSAM); Planning Study Documentation: Environment Effects Statement Writing (EESW), Planning Assessment Report Writing (PAR), Planning Scheme Amendment Documentation (PSAD); Specialist Studies/Tasks: Community Involvement (CI), Cost Estimate (CE), Economic Analysis/Evaluation (EA), Facilitation (CF), Land Use (LU), Network Modelling (PNM), Regional Economy/ Business and Tourism (RE), Risk Management (RM), Social Impact (SI), Transport Modelling (TM)","AFF, AIR, AND, AQMD, BI2, CE, CF, CH, CI, COST, CS, DBS, DES, DMR, DSD, EA, EAC, E-AFF, E-AQMD, E-EAC, E-EMS, EES, EESM, EESW, EMS, E-NMD, EPM, E-TFL, FD, FIR, FVR, GAIN, GT, GT-DES, GT-GWH, GT-INV, GWH, HC, H-COMPLEX, H-SIMPLE, INV, LAND, LU, M1, M2, M3, ND1, ND2, ND3, NET, NMD, OF, PAM, PAR, PE, PNM, PRN, PRS, PSA, PSAD, PSAM, RE, RISK, RM, RM1, RM2, RM3, ROAD, RR, SH, SI, SS, ST, STRUCTURES-COMPLEX, STRUCTURES-SIMPLE, TAR, TCA, TFL, TM, TMC, TOF, TOS, TPF, TSD, TSM, TTF, UR, USE, WSRD","J"
"James Civil Group Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/92c7930582633129ca25853400142837?OpenDocument","Cached","2025-09-12 10:42:57","James Civil Group Pty Ltd",,"5 McPherson Road, BENALLA VIC 3672","Ms Jodie Gallo","PO Box 412, BENALLA VIC 3672&nbsp","info@jamescivil.com",,,,,,,,"F001, R1","J"
"James Milne Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/fee1f5e7162f940aca257b21001fcad8?OpenDocument","Cached","2025-09-12 10:42:57","James Milne Pty Ltd","0427 758 268","94 Whyte Street, COLERAINE VIC 3315","Mr James Milne","""As Above"", &nbsp","jamesimilne@icloud.com",,,,,,,,"F002, R1","J"
"Jansen Electrical &amp; Maintenance Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/908ac460090cb349ca258330001d1434?OpenDocument","Cached","2025-09-12 10:42:58","Jansen Electrical & Maintenance Pty Ltd",,"766 Burwood Hwy, FERNTREE GULLY VIC 3156","Mr John Jansen","""As Above"", &nbsp","jansenelectricalmaintenance@gmail.com",,,,,,,,"SSLC, STCE, STS, STS1, STS2","J"
"Jarvis Delahey Contractors Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/d2d22c541a724d9aca25828a000b84fa?OpenDocument","Cached","2025-09-12 10:42:59","Jarvis Delahey Contractors Pty Ltd","0447  418 148","295 Doyles Road , SHEPPARTON VIC 3630","Mr Richard Jarvis","P O Box 6499 , , SHEPPARTON VIC 3632&nbsp","admin@jdcontractors.com.au",,,,,,,,"F001, R2","J"
"Jarvis Norwood Constructions Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/617a062a2f56ab03ca256d0b0016f33f?OpenDocument","Cached","2025-09-12 10:42:59","Jarvis Norwood Constructions Pty Ltd","(03) 5156 4277","12 Duffy Street, SWAN REACH VIC 3903","Mr Chrisl Seymour","""As Above""&nbsp","admin@jarvisnorwood.com.au",,,,,,,,"B3, F010, M1, R2, WORKS-MINOR","J"
"Jaydo Construction Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/c38c2c9ef89beccfca2581f50000955b?OpenDocument","Cached","2025-09-12 10:43:00","Jaydo Construction Pty Ltd","03 8772 6000","81 Boundary Road, CARRUM DOWNS VIC 3201","Mr Michael Van Garderen","""As Above"", &nbsp","compliance@jaydo.com.au",,,,,,,,"B1, F050, R1","J"
"JC Engineers Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/999e50f10e15537cca258b950083a99d?OpenDocument","Cached","2025-09-12 10:43:00","JC Engineers Pty Ltd","( 07 ) 5631 4920","Suite 1208, Level 2, 1 Lawson Street, Southport Qld 4215","Mr Brendan Nielsen","PO Box 3519, Southport BC QLD 4215&nbsp","brendan.nielsen@jcengineers.com.au",,,,,"Hydrologic & Hydraulic Design: H&H-Complex (CH), H&H-Simple (SH)",,,"CH, H-COMPLEX, H-SIMPLE, SH","J"
"JCA Land Consultants**","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/a4b101ef9fef96d4ca257302001dee69?OpenDocument","Cached","2025-09-12 10:43:01","John Chivers & Associates Pty Ltd","(03) 9735 4888","Suite 9, 303, Maroondah Highway, RINGWOOD VIC 3196","Mr Stewart Pike","""As Above"", &nbsp","stewartpike@jcalc.com.au",,,,,"Road Design: Rural Road (RR), Urban Road (UR)",,,"ROAD, RR, UR","J"
"Jenoptik Australia Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/eee75f6fd0143f6fca257f380079a8cc?OpenDocument","Cached","2025-09-12 10:43:02","Jenoptik Australia Pty Ltd",,"12/13 Road, LANE COVE NSW 2066","Mr Mark Shingles","""As Above"", &nbsp","sales@jenoptik.com.au",,,,,,,,,"J"
